0,0.374,0.0,0.0,0.0,0.247
1,0.0,0.0,0.0,0.0,0.0
0,0.432,0.0,0.0,0.0,0.236
0,0.378,0.0,0.0,0.0,0.139
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
0,0.181,0.0,0.0,0.0,0.345
0,0.275,0.0,0.0,0.0,0.047
1,0.0,0.0,0.0,0.0,0.0
0,0.371,0.0,0.0,0.0,0.433
1,0.0,0.0,0.0,0.0,0.0
0,0.499,0.0,0.0,0.0,0.008
0,0.027,0.0,0.0,0.0,0.249
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
0,0.11,0.0,0.0,0.0,0.123
1,0.0,0.0,0.0,0.0,0.0
0,0.013,0.0,0.0,0.0,0.056
0,0.001,0.0,0.0,0.0,0.004
0,0.316,0.0,0.0,0.0,0.232
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
0,0.389,0.0,0.0,0.0,0.177
0,0.393,0.0,0.0,0.0,0.195
0,0.443,0.0,0.0,0.0,0.372
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
0,0.425,0.0,0.0,0.0,0.219
1,0.0,0.0,0.0,0.358,0.0
0,0.196,0.0,0.0,0.0,0.054
1,0.0,0.0,0.0,0.0,0.0
0,0.068,0.0,0.0,0.0,0.081
0,0.158,0.0,0.0,0.0,0.103
0,0.262,0.0,0.0,0.0,0.449
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
0,0.235,0.0,0.0,0.0,0.183
1,0.0,0.0,0.0,0.0,0.0
0,0.366,0.0,0.0,0.0,0.145
0,0.255,0.0,0.0,0.0,0.35
1,0.0,0.0,0.0,0.0,0.0
0,0.26,0.0,0.0,0.0,0.314
0,0.04,0.0,0.0,0.0,0.08
0,0.128,0.0,0.0,0.0,0.017
1,0.0,0.0,0.0,0.0,0.0
0,0.12,0.0,0.0,0.0,0.165
1,0.0,0.0,0.0,0.0,0.0
0,0.378,0.0,0.0,0.0,0.31
0,0.04,0.0,0.0,0.0,0.216
0,0.085,0.0,0.0,0.0,0.194
0,0.044,0.0,0.0,0.0,0.26
0,0.201,0.0,0.0,0.0,0.235
0,0.004,0.0,0.0,0.0,0.487
0,0.283,0.0,0.0,0.0,0.184
0,0.018,0.0,0.0,0.0,0.171
0,0.331,0.0,0.0,0.0,0.304
0,0.389,0.0,0.0,0.0,0.261
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
0,0.161,0.0,0.0,0.0,0.348
0,0.466,0.0,0.0,0.0,0.395
0,0.244,0.0,0.0,0.0,0.396
0,0.018,0.0,0.0,0.0,0.19
1,0.0,0.0,0.0,0.0,0.0
