1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
0,0.35,0.0,0.0,0.0,0.483
1,0.028,0.012,0.0,0.1,0.001
1,0.486,0.0,0.0,0.0,0.0
0,0.363,0.0,0.0,0.0,0.084
0,0.191,0.0,0.0,0.0,0.24
0,0.002,0.0,0.0,0.0,0.006
1,0.0,0.0,0.0,0.0,0.0
0,0.421,0.0,0.0,0.0,0.105
0,0.306,0.0,0.0,0.0,0.29
0,0.005,0.0,0.0,0.0,0.145
0,0.421,0.0,0.0,0.0,0.003
1,0.0,0.0,0.0,0.0,0.0
0,0.016,0.0,0.0,0.0,0.064
1,0.003,0.0,0.0,0.0,0.0
0,0.249,0.0,0.0,0.0,0.047
0,0.0,0.0,0.0,0.0,0.249
1,0.372,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.023
1,0.195,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.037
1,0.0,0.0,0.0,0.0,0.0
1,0.08,0.0,0.0,0.0,0.0
0,0.184,0.0,0.0,0.0,0.081
1,0.04,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
0,0.222,0.0,0.0,0.0,0.062
1,0.0,0.0,0.0,0.0,0.0
1,0.364,0.0,0.0,0.0,0.0
1,0.481,0.0,0.0,0.0,0.0
1,0.082,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.008
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
0,0.17,0.0,0.0,0.0,0.134
0,0.0,0.0,0.113,0.0,0.004
1,0.006,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.003
0,0.4,0.0,0.0,0.0,0.49
0,0.004,0.0,0.0,0.0,0.009
0,0.003,0.0,0.0,0.0,0.014
1,0.0,0.0,0.0,0.0,0.0
1,0.344,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
0,0.039,0.0,0.0,0.0,0.176
0,0.497,0.0,0.0,0.0,0.176
0,0.279,0.0,0.0,0.308,0.005
0,0.076,0.0,0.0,0.0,0.115
0,0.411,0.0,0.0,0.0,0.183
0,0.0,0.0,0.152,0.089,0.007
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
0,0.007,0.0,0.0,0.0,0.023
0,0.327,0.0,0.0,0.0,0.017
1,0.452,0.0,0.082,0.0,0.0
0,0.0,0.0,0.0,0.0,0.063
0,0.094,0.0,0.0,0.0,0.033
0,0.48,0.0,0.0,0.0,0.292
1,0.112,0.0,0.0,0.392,0.0
1,0.0,0.0,0.0,0.0,0.0
0,0.014,0.0,0.0,0.0,0.456
0,0.041,0.0,0.0,0.0,0.29
1,0.074,0.0,0.0,0.0,0.0
0,0.089,0.0,0.0,0.0,0.007
1,0.479,0.0,0.0,0.0,0.0
0,0.393,0.0,0.0,0.0,0.42
1,0.064,0.0,0.0,0.0,0.0
0,0.006,0.0,0.0,0.0,0.513
0,0.303,0.0,0.0,0.0,0.099
1,0.002,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.011,0.0
0,0.005,0.0,0.0,0.0,0.106
0,0.13,0.0,0.0,0.0,0.113
0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.002
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
0,0.002,0.0,0.0,0.0,0.9
0,0.089,0.006,0.0,0.003,0.252
1,0.411,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
1,0.371,0.138,0.0,0.487,0.0
1,0.0,0.056,0.0,0.125,0.0
