0,0.146,0.0,0.0,0.0,0.152
0,0.166,0.0,0.0,0.0,0.057
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
0,0.422,0.0,0.0,0.0,0.385
1,0.0,0.0,0.0,0.0,0.0
0,0.241,0.0,0.0,0.0,0.38
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
0,0.318,0.0,0.0,0.0,0.239
0,0.466,0.0,0.0,0.0,0.277
1,0.0,0.0,0.0,0.0,0.0
0,0.314,0.0,0.0,0.0,0.146
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
0,0.105,0.0,0.0,0.0,0.369
0,0.403,0.0,0.0,0.0,0.191
1,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.634
0,0.468,0.0,0.0,0.0,0.152
1,0.0,0.0,0.0,0.0,0.0
0,0.323,0.0,0.0,0.0,0.269
0,0.259,0.0,0.0,0.0,0.345
0,0.366,0.0,0.0,0.0,0.34
1,0.0,0.0,0.0,0.0,0.0
0,0.262,0.0,0.0,0.0,0.069
0,0.496,0.0,0.0,0.0,0.483
0,0.279,0.0,0.0,0.0,0.24
0,0.066,0.0,0.0,0.0,0.507
0,0.09,0.0,0.0,0.0,0.18
0,0.001,0.0,0.0,0.0,0.19
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
0,0.099,0.0,0.0,0.0,0.433
0,0.041,0.0,0.0,0.0,0.058
0,0.013,0.0,0.0,0.0,0.226
1,0.0,0.0,0.0,0.0,0.0
0,0.149,0.0,0.0,0.0,0.081
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
0,0.386,0.0,0.0,0.0,0.176
0,0.349,0.0,0.0,0.0,0.061
0,0.409,0.0,0.0,0.0,0.191
1,0.0,0.0,0.0,0.0,0.0
0,0.469,0.0,0.0,0.0,0.415
1,0.0,0.0,0.0,0.0,0.0
0,0.02,0.0,0.0,0.0,0.341
0,0.462,0.0,0.0,0.0,0.103
0,0.356,0.0,0.0,0.0,0.454
0,0.231,0.0,0.0,0.0,0.363
0,0.084,0.0,0.0,0.0,0.325
0,0.188,0.0,0.0,0.0,0.028
0,0.495,0.0,0.0,0.0,0.19
1,0.0,0.0,0.0,0.0,0.0
0,0.017,0.0,0.0,0.0,0.26
1,0.0,0.0,0.0,0.0,0.0
0,0.461,0.0,0.0,0.0,0.033
0,0.435,0.0,0.0,0.0,0.387
0,0.068,0.0,0.0,0.0,0.218
1,0.0,0.0,0.0,0.0,0.0
0,0.009,0.0,0.0,0.0,0.158
0,0.331,0.0,0.0,0.0,0.235
0,0.23,0.0,0.0,0.0,0.126
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
0,0.124,0.0,0.0,0.0,0.316
0,0.233,0.0,0.0,0.0,0.486
0,0.039,0.0,0.0,0.0,0.358
1,0.0,0.0,0.0,0.0,0.0
0,0.266,0.0,0.0,0.0,0.445
0,0.423,0.0,0.0,0.0,0.036
0,0.275,0.0,0.0,0.0,0.015
0,0.284,0.0,0.0,0.0,0.102
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
0,0.131,0.0,0.0,0.0,0.115
1,0.0,0.0,0.0,0.0,0.0
0,0.18,0.0,0.0,0.0,0.224
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
0,0.117,0.0,0.0,0.0,0.19
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
0,0.003,0.0,0.0,0.0,0.624
0,0.45,0.0,0.0,0.0,0.118
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
0,0.002,0.0,0.0,0.0,0.267
0,0.159,0.0,0.0,0.0,0.254
