true,corr,mmd,kol,wilc,rdc
1,0.0,0.0,0.0,0.125,0.0
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
0,0.328,0.0,0.0,0.0,0.137
0,0.31,0.0,0.0,0.0,0.115
0,0.462,0.0,0.0,0.0,0.046
1,0.0,0.0,0.0,0.0,0.0
0,0.012,0.0,0.0,0.0,0.144
0,0.448,0.0,0.0,0.0,0.217
1,0.0,0.0,0.0,0.0,0.0
0,0.125,0.0,0.0,0.0,0.367
0,0.154,0.0,0.0,0.0,0.086
0,0.42,0.0,0.0,0.0,0.033
0,0.013,0.0,0.0,0.0,0.017
1,0.0,0.0,0.0,0.0,0.0
0,0.049,0.0,0.211,0.0,0.222
0,0.352,0.433,0.395,0.329,0.458
0,0.008,0.0,0.0,0.0,0.348
1,0.0,0.0,0.0,0.0,0.0
0,0.091,0.0,0.0,0.0,0.491
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
0,0.009,0.499,0.053,0.126,0.427
0,0.064,0.0,0.0,0.0,0.169
0,0.042,0.0,0.0,0.0,0.257
1,0.0,0.0,0.0,0.0,0.001
1,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.166
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
0,0.232,0.0,0.0,0.0,0.263
0,0.0,0.0,0.0,0.0,0.209
0,0.231,0.0,0.0,0.0,0.377
1,0.0,0.0,0.0,0.0,0.0
0,0.066,0.0,0.0,0.0,0.298
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
0,0.358,0.0,0.0,0.0,0.174
0,0.319,0.0,0.0,0.0,0.318
0,0.0,0.0,0.0,0.0,0.006
0,0.178,0.0,0.0,0.0,0.449
0,0.295,0.296,0.34,0.004,0.356
0,0.251,0.0,0.0,0.0,0.294
1,0.0,0.0,0.0,0.0,0.0
0,0.141,0.0,0.0,0.0,0.196
1,0.0,0.0,0.0,0.0,0.001
1,0.0,0.0,0.0,0.215,0.0
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
0,0.389,0.0,0.0,0.0,0.42
1,0.0,0.0,0.0,0.0,0.0
0,0.412,0.0,0.0,0.0,0.25
0,0.022,0.0,0.0,0.0,0.051
0,0.376,0.094,0.0,0.222,0.067
1,0.0,0.0,0.0,0.0,0.0
0,0.004,0.0,0.0,0.0,0.266
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
0,0.386,0.0,0.0,0.0,0.52
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.008,0.0,0.0,0.0
0,0.482,0.0,0.0,0.148,0.287
0,0.13,0.0,0.0,0.0,0.084
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.003,0.0
1,0.0,0.0,0.0,0.0,0.0
